zone_id,mn_code,municipality
738092,380,Uppsala
738093,380,Uppsala
738094,380,Uppsala
738095,380,Uppsala
738096,380,Uppsala
738097,380,Uppsala
738098,380,Uppsala
738099,380,Uppsala
737120,380,Uppsala
737125,380,Uppsala
737133,380,Uppsala
737134,380,Uppsala
737135,380,Uppsala
737136,380,Uppsala
737067,380,Uppsala
737068,380,Uppsala
737069,380,Uppsala
737092,380,Uppsala
737093,380,Uppsala
737094,380,Uppsala
737095,380,Uppsala
737096,380,Uppsala
737097,380,Uppsala
737098,380,Uppsala
737099,380,Uppsala
737101,380,Uppsala
737102,380,Uppsala
737103,380,Uppsala
737104,380,Uppsala
737105,380,Uppsala
737106,380,Uppsala
737108,380,Uppsala
737110,380,Uppsala
738101,381,Enköping
738102,381,Enköping
738103,381,Enköping
738104,381,Enköping
738105,381,Enköping
738106,381,Enköping
738107,381,Enköping
738108,381,Enköping
738109,381,Enköping
738110,381,Enköping
738111,381,Enköping
738112,381,Enköping
738113,381,Enköping
738115,381,Enköping
738116,381,Enköping
738117,381,Enköping
738118,381,Enköping
738119,381,Enköping
738120,381,Enköping
738121,381,Enköping
738122,381,Enköping
738125,381,Enköping
738126,381,Enköping
738127,381,Enköping
738128,381,Enköping
738129,381,Enköping
738130,381,Enköping
738131,381,Enköping
738133,381,Enköping
738134,381,Enköping
738135,381,Enköping
738136,381,Enköping
738137,381,Enköping
738138,381,Enköping
738139,381,Enköping
738142,381,Enköping
738143,381,Enköping
738144,381,Enköping
738145,381,Enköping
738147,381,Enköping
738140,381,Enköping
738141,381,Enköping
738146,381,Enköping
738201,382,Östhammar
738202,382,Östhammar
738205,382,Östhammar
738206,382,Östhammar
738208,382,Östhammar
738209,382,Östhammar
738210,382,Östhammar
738212,382,Östhammar
738213,382,Östhammar
738217,382,Östhammar
738203,382,Östhammar
738204,382,Östhammar
738215,382,Östhammar
738216,382,Östhammar
738218,382,Östhammar
738219,382,Östhammar
738220,382,Östhammar
738221,382,Östhammar
738222,382,Östhammar
738207,382,Östhammar
